date,city,property_type,units_sold,price_per_unit_lakhs,total_sales_value_lakhs
12-09-2025,Mumbai,Apartment,3,148.79,446.37
25-12-2025,Mumbai,Apartment,6,215.25,1291.5
10-10-2025,Hyderabad,Villa,3,144.61,433.83
26-07-2025,Chennai,Apartment,7,167.19,1170.33
15-01-2025,Chennai,Commercial,9,49.61,446.49
12-12-2025,Chennai,Commercial,2,196.16,392.32
11-02-2025,Bengaluru,Apartment,5,58.1,290.5
28-06-2025,Hyderabad,Villa,6,211.73,1270.38
04-03-2025,Chennai,Commercial,4,202.05,808.2
18-12-2025,Bengaluru,Villa,4,185.92,743.68
19-08-2025,Delhi,Villa,4,37.96,151.84
29-08-2025,Delhi,Commercial,2,96.69,193.38
21-02-2025,Bengaluru,Villa,4,87.88,351.52
06-04-2025,Bengaluru,Commercial,1,109.23,109.23
10-08-2025,Hyderabad,Villa,6,49.28,295.68
19-08-2025,Hyderabad,Commercial,1,236.13,236.13
25-08-2025,Delhi,Apartment,6,151.84,911.04
23-05-2025,Chennai,Commercial,1,97.22,97.22
20-06-2025,Delhi,Commercial,6,117.34,704.04
29-01-2025,Chennai,Commercial,8,128.38,1027.04
05-02-2025,Chennai,Commercial,2,162.13,324.26
13-01-2025,Hyderabad,Villa,2,143.45,286.9
09-06-2025,Mumbai,Apartment,4,232.27,929.08
23-11-2025,Mumbai,Commercial,3,139.33,417.99
06-07-2025,Bengaluru,Villa,4,248.27,993.08
31-08-2025,Hyderabad,Apartment,7,217.31,1521.17
27-03-2025,Chennai,Apartment,1,75.87,75.87
11-10-2025,Mumbai,Apartment,6,234.73,1408.38
07-03-2025,Chennai,Apartment,3,55.6,166.8
19-06-2025,Mumbai,Commercial,7,209.84,1468.88
14-02-2025,Mumbai,Commercial,2,113.74,227.48
03-03-2025,Mumbai,Villa,2,223.15,446.3
14-05-2025,Hyderabad,Villa,4,220.97,883.88
11-10-2025,Delhi,Villa,1,207.3,207.3
28-01-2025,Chennai,Apartment,3,203.81,611.43
18-04-2025,Hyderabad,Apartment,9,97.03,873.27
13-02-2025,Hyderabad,Commercial,7,47.8,334.6
06-12-2025,Hyderabad,Apartment,7,118.66,830.62
13-10-2025,Hyderabad,Apartment,4,68.18,272.72
27-11-2025,Hyderabad,Apartment,2,182.89,365.78
08-05-2025,Bengaluru,Villa,4,106.14,424.56
14-12-2025,Chennai,Villa,6,244.63,1467.78
19-08-2025,Hyderabad,Commercial,3,171.01,513.03
09-07-2025,Chennai,Apartment,1,210.95,210.95
13-08-2025,Bengaluru,Apartment,8,59.16,473.28
10-10-2025,Bengaluru,Commercial,5,219.64,1098.2
01-05-2025,Chennai,Apartment,5,233.01,1165.05
26-04-2025,Mumbai,Apartment,4,137.15,548.6
21-08-2025,Delhi,Villa,6,163.38,980.28
16-09-2025,Mumbai,Commercial,3,198.26,594.78
25-12-2025,Mumbai,Commercial,9,68.46,616.14
17-07-2025,Mumbai,Commercial,5,140.56,702.8
17-05-2025,Hyderabad,Commercial,3,117.71,353.13
14-11-2025,Bengaluru,Villa,1,62.2,62.2
14-06-2025,Mumbai,Villa,6,110.86,665.16
13-08-2025,Bengaluru,Apartment,2,45,90
03-11-2025,Chennai,Apartment,3,35.68,107.04
22-08-2025,Delhi,Apartment,1,59.74,59.74
21-06-2025,Chennai,Apartment,9,241.89,2177.01
01-06-2025,Chennai,Villa,8,150.9,1207.2
11-11-2025,Hyderabad,Commercial,2,242.48,484.96
09-06-2025,Delhi,Villa,8,125.15,1001.2
06-04-2025,Chennai,Apartment,9,98.6,887.4
21-08-2025,Chennai,Villa,1,141.35,141.35
29-06-2025,Delhi,Commercial,5,126.69,633.45
23-04-2025,Delhi,Commercial,8,53.25,426
14-11-2025,Chennai,Villa,2,170.98,341.96
21-02-2025,Delhi,Villa,4,77.53,310.12
25-09-2025,Chennai,Villa,7,166.31,1164.17
22-10-2025,Chennai,Apartment,3,173.04,519.12
23-04-2025,Hyderabad,Villa,5,63.45,317.25
11-04-2025,Mumbai,Villa,8,43.5,348
23-04-2025,Chennai,Villa,3,201.77,605.31
22-03-2025,Bengaluru,Commercial,4,131.16,524.64
06-07-2025,Mumbai,Commercial,9,42.8,385.2
23-04-2025,Mumbai,Apartment,7,248.87,1742.09
02-01-2025,Mumbai,Apartment,1,42.71,42.71
10-05-2025,Hyderabad,Commercial,4,182.91,731.64
08-08-2025,Chennai,Commercial,4,246.41,985.64
23-02-2025,Hyderabad,Commercial,9,82.62,743.58
09-12-2025,Chennai,Villa,6,61.29,367.74
12-08-2025,Hyderabad,Villa,9,56.7,510.3
13-08-2025,Hyderabad,Commercial,6,96.72,580.32
06-05-2025,Bengaluru,Villa,6,52.23,313.38
10-05-2025,Hyderabad,Villa,5,182.28,911.4
22-02-2025,Delhi,Apartment,5,43.7,218.5
21-06-2025,Bengaluru,Commercial,2,142.07,284.14
06-08-2025,Hyderabad,Commercial,8,249.27,1994.16
09-06-2025,Mumbai,Villa,8,209.07,1672.56
17-07-2025,Delhi,Commercial,1,165.35,165.35
04-09-2025,Delhi,Apartment,8,97.38,779.04
20-11-2025,Delhi,Apartment,5,167.26,836.3
22-07-2025,Bengaluru,Apartment,2,145.95,291.9
03-07-2025,Hyderabad,Commercial,2,123.74,247.48
03-05-2025,Hyderabad,Commercial,6,58.76,352.56
12-09-2025,Mumbai,Commercial,9,225.05,2025.45
21-10-2025,Mumbai,Commercial,1,128.95,128.95
07-10-2025,Delhi,Commercial,6,72.82,436.92
21-11-2025,Mumbai,Apartment,9,110.91,998.19
08-04-2025,Bengaluru,Villa,8,121.11,968.88
17-07-2025,Hyderabad,Apartment,6,212.06,1272.36
28-08-2025,Delhi,Commercial,3,191.4,574.2
24-05-2025,Mumbai,Apartment,8,199.25,1594
07-04-2025,Bengaluru,Commercial,9,32.43,291.87
20-07-2025,Bengaluru,Commercial,1,121.55,121.55
04-05-2025,Mumbai,Apartment,9,135.9,1223.1
06-07-2025,Hyderabad,Commercial,6,34.22,205.32
22-11-2025,Mumbai,Villa,6,87.16,522.96
15-12-2025,Delhi,Commercial,4,197.26,789.04
16-09-2025,Mumbai,Villa,1,60.16,60.16
28-05-2025,Bengaluru,Villa,8,147.77,1182.16
09-09-2025,Mumbai,Commercial,2,77.34,154.68
12-12-2025,Hyderabad,Apartment,1,32.67,32.67
27-05-2025,Chennai,Villa,2,83.06,166.12
28-05-2025,Mumbai,Apartment,1,244.69,244.69
18-12-2025,Hyderabad,Villa,1,206.34,206.34
18-07-2025,Hyderabad,Commercial,9,241.11,2169.99
04-11-2025,Bengaluru,Commercial,1,137.33,137.33
08-05-2025,Hyderabad,Villa,4,54.14,216.56
08-02-2025,Hyderabad,Commercial,6,150.55,903.3
04-12-2025,Hyderabad,Villa,7,129.96,909.72
26-12-2025,Hyderabad,Commercial,2,215.76,431.52
09-05-2025,Delhi,Apartment,6,51.58,309.48
24-09-2025,Delhi,Commercial,7,137.41,961.87
31-05-2025,Bengaluru,Apartment,2,63.01,126.02
25-10-2025,Mumbai,Commercial,2,101.43,202.86
09-04-2025,Hyderabad,Apartment,7,192.22,1345.54
20-09-2025,Mumbai,Commercial,1,134.72,134.72
09-09-2025,Mumbai,Apartment,8,112.7,901.6
24-05-2025,Bengaluru,Villa,3,116.78,350.34
12-12-2025,Hyderabad,Villa,6,131.08,786.48
22-04-2025,Hyderabad,Apartment,9,202.7,1824.3
01-03-2025,Chennai,Commercial,6,226.26,1357.56
02-01-2025,Mumbai,Apartment,9,240.17,2161.53
31-10-2025,Mumbai,Commercial,7,203.12,1421.84
11-09-2025,Delhi,Villa,9,99.39,894.51
20-05-2025,Chennai,Commercial,2,181.39,362.78
06-02-2025,Delhi,Villa,8,126.27,1010.16
09-06-2025,Delhi,Commercial,8,86.03,688.24
09-01-2025,Delhi,Commercial,2,214.99,429.98
21-08-2025,Bengaluru,Commercial,4,38.45,153.8
09-04-2025,Bengaluru,Apartment,7,228.39,1598.73
27-05-2025,Delhi,Apartment,4,131.53,526.12
31-10-2025,Chennai,Villa,4,170.18,680.72
27-07-2025,Mumbai,Villa,6,175.06,1050.36
11-05-2025,Chennai,Apartment,6,226.93,1361.58
01-06-2025,Hyderabad,Villa,3,170.07,510.21
23-02-2025,Bengaluru,Apartment,9,165.07,1485.63
30-04-2025,Mumbai,Commercial,2,44.66,89.32
10-06-2025,Mumbai,Villa,6,144.05,864.3
26-04-2025,Hyderabad,Villa,7,63.04,441.28
16-03-2025,Hyderabad,Apartment,9,192.24,1730.16
23-04-2025,Delhi,Villa,3,142.69,428.07
14-04-2025,Bengaluru,Villa,3,179.65,538.95
06-12-2025,Bengaluru,Commercial,7,39.17,274.19
11-09-2025,Chennai,Villa,4,48.65,194.6
15-08-2025,Delhi,Commercial,8,187.59,1500.72
22-04-2025,Delhi,Apartment,7,45.86,321.02
09-04-2025,Delhi,Villa,5,45.68,228.4
02-06-2025,Delhi,Commercial,7,32.66,228.62
15-12-2025,Bengaluru,Apartment,3,240.43,721.29
04-12-2025,Bengaluru,Villa,2,192.25,384.5
13-07-2025,Delhi,Apartment,6,107.72,646.32
06-11-2025,Chennai,Villa,2,95.24,190.48
12-06-2025,Mumbai,Apartment,3,106.93,320.79
27-07-2025,Mumbai,Apartment,6,200.42,1202.52
18-06-2025,Chennai,Commercial,5,175.5,877.5
10-06-2025,Delhi,Apartment,8,70.74,565.92
09-03-2025,Bengaluru,Villa,9,68.3,614.7
16-10-2025,Mumbai,Villa,3,51.65,154.95
04-10-2025,Hyderabad,Commercial,3,175.27,525.81
31-10-2025,Hyderabad,Villa,3,198.16,594.48
15-05-2025,Chennai,Villa,6,88.31,529.86
14-07-2025,Delhi,Villa,1,34.61,34.61
08-05-2025,Mumbai,Apartment,7,48.08,336.56
02-02-2025,Delhi,Apartment,1,242.93,242.93
25-06-2025,Mumbai,Villa,5,95,475
22-01-2025,Chennai,Commercial,8,199.23,1593.84
26-08-2025,Chennai,Apartment,4,167.43,669.72
07-06-2025,Hyderabad,Commercial,5,114.03,570.15
07-02-2025,Delhi,Villa,4,75.25,301
18-08-2025,Hyderabad,Villa,4,56.71,226.84
31-12-2025,Delhi,Apartment,8,165.3,1322.4
20-02-2025,Hyderabad,Villa,2,200.42,400.84
21-09-2025,Bengaluru,Apartment,1,171.66,171.66
10-10-2025,Bengaluru,Villa,3,146.67,440.01
27-01-2025,Bengaluru,Villa,9,39.23,353.07
14-08-2025,Bengaluru,Apartment,4,243.07,972.28
04-10-2025,Mumbai,Apartment,5,205.72,1028.6
13-10-2025,Bengaluru,Apartment,2,94.42,188.84
07-04-2025,Chennai,Villa,4,245.59,982.36
11-10-2025,Chennai,Villa,2,162.41,324.82
13-11-2025,Mumbai,Commercial,2,158.13,316.26
31-10-2025,Bengaluru,Apartment,4,194.58,778.32
27-05-2025,Bengaluru,Villa,6,208.59,1251.54
04-01-2025,Bengaluru,Villa,7,174.43,1221.01
04-02-2025,Hyderabad,Apartment,3,58.18,174.54
11-07-2025,Delhi,Commercial,3,104.42,313.26
18-02-2025,Hyderabad,Apartment,6,234.18,1405.08
17-01-2025,Delhi,Commercial,3,79.42,238.26
21-06-2025,Bengaluru,Villa,2,111.88,223.76
08-08-2025,Bengaluru,Commercial,8,125.06,1000.48
07-06-2025,Hyderabad,Villa,5,126.67,633.35
15-02-2025,Hyderabad,Apartment,1,164.85,164.85
06-01-2025,Delhi,Apartment,3,237.48,712.44
09-04-2025,Chennai,Apartment,8,82.95,663.6
21-08-2025,Delhi,Commercial,4,56.73,226.92
06-02-2025,Hyderabad,Villa,7,73.44,514.08
07-10-2025,Hyderabad,Apartment,2,225.12,450.24
15-12-2025,Mumbai,Apartment,7,172.08,1204.56
29-10-2025,Hyderabad,Villa,5,92.9,464.5
30-06-2025,Mumbai,Apartment,5,209.51,1047.55
05-04-2025,Chennai,Villa,6,219.5,1317
09-04-2025,Delhi,Villa,9,216.23,1946.07
07-07-2025,Delhi,Villa,6,232.16,1392.96
26-04-2025,Mumbai,Villa,8,85.49,683.92
10-07-2025,Delhi,Villa,7,196.11,1372.77
10-09-2025,Hyderabad,Commercial,9,131.32,1181.88
10-06-2025,Bengaluru,Apartment,4,215.24,860.96
13-09-2025,Mumbai,Commercial,2,190.27,380.54
19-11-2025,Delhi,Apartment,7,200.82,1405.74
08-05-2025,Mumbai,Commercial,6,174.36,1046.16
18-01-2025,Mumbai,Villa,1,69.03,69.03
08-10-2025,Bengaluru,Apartment,9,149.91,1349.19
11-08-2025,Hyderabad,Apartment,9,246.63,2219.67
23-02-2025,Mumbai,Commercial,2,236.23,472.46
27-02-2025,Delhi,Commercial,3,39.5,118.5
19-11-2025,Chennai,Apartment,5,66.26,331.3
26-12-2025,Mumbai,Commercial,5,58.98,294.9
23-06-2025,Mumbai,Commercial,1,189.72,189.72
07-10-2025,Bengaluru,Commercial,8,209.91,1679.28
24-04-2025,Hyderabad,Villa,8,76.97,615.76
15-10-2025,Chennai,Villa,4,141.29,565.16
08-12-2025,Delhi,Commercial,7,214.95,1504.65
31-05-2025,Chennai,Commercial,3,191.22,573.66
07-05-2025,Delhi,Villa,6,149.29,895.74
04-06-2025,Hyderabad,Villa,9,159.88,1438.92
30-09-2025,Delhi,Apartment,1,141.84,141.84
14-04-2025,Bengaluru,Apartment,5,95.46,477.3
26-10-2025,Bengaluru,Villa,4,154.3,617.2
03-09-2025,Bengaluru,Commercial,8,181.55,1452.4
25-06-2025,Bengaluru,Commercial,1,222.13,222.13
08-02-2025,Chennai,Commercial,9,169.98,1529.82
19-06-2025,Hyderabad,Commercial,6,197.45,1184.7
04-09-2025,Delhi,Apartment,4,65.22,260.88
26-01-2025,Delhi,Villa,9,131.54,1183.86
21-12-2025,Bengaluru,Commercial,5,32.05,160.25
02-11-2025,Bengaluru,Apartment,5,84.27,421.35
13-01-2025,Mumbai,Commercial,5,189.82,949.1
12-11-2025,Hyderabad,Villa,1,248.2,248.2
09-11-2025,Chennai,Apartment,1,51.82,51.82
05-02-2025,Delhi,Villa,8,118.33,946.64
22-06-2025,Mumbai,Villa,8,206.02,1648.16
20-01-2025,Mumbai,Apartment,6,74.89,449.34
17-11-2025,Delhi,Apartment,4,152.12,608.48
21-09-2025,Chennai,Apartment,2,191.28,382.56
22-05-2025,Mumbai,Apartment,2,165.52,331.04
23-05-2025,Mumbai,Apartment,9,71.37,642.33
02-04-2025,Hyderabad,Apartment,5,108.18,540.9
20-12-2025,Chennai,Apartment,4,202.43,809.72
18-11-2025,Mumbai,Commercial,1,151.93,151.93
15-10-2025,Chennai,Villa,7,31.15,218.05
03-08-2025,Delhi,Apartment,3,197.42,592.26
08-12-2025,Bengaluru,Commercial,6,37.77,226.62
20-02-2025,Mumbai,Commercial,5,194.06,970.3
02-06-2025,Hyderabad,Commercial,5,74.55,372.75
05-07-2025,Delhi,Villa,5,240.78,1203.9
04-03-2025,Chennai,Apartment,1,110.95,110.95
09-07-2025,Delhi,Commercial,1,101.92,101.92
05-05-2025,Mumbai,Villa,3,62.76,188.28
30-05-2025,Chennai,Villa,4,97.23,388.92
10-11-2025,Bengaluru,Villa,5,222.86,1114.3
27-02-2025,Delhi,Commercial,2,249.19,498.38
08-12-2025,Mumbai,Apartment,8,111.03,888.24
01-11-2025,Hyderabad,Commercial,2,128.69,257.38
29-06-2025,Chennai,Commercial,9,188.86,1699.74
19-06-2025,Delhi,Apartment,2,224.96,449.92
22-11-2025,Delhi,Apartment,9,160.47,1444.23
28-09-2025,Bengaluru,Apartment,7,116.14,812.98
23-02-2025,Bengaluru,Villa,8,120.78,966.24
11-04-2025,Hyderabad,Apartment,2,183.04,366.08
21-09-2025,Hyderabad,Commercial,7,30.71,214.97
22-02-2025,Mumbai,Apartment,6,166.31,997.86
01-03-2025,Mumbai,Commercial,4,108.21,432.84
18-04-2025,Hyderabad,Villa,7,204.72,1433.04
05-01-2025,Hyderabad,Commercial,4,50.46,201.84
13-04-2025,Chennai,Commercial,2,159.4,318.8
15-07-2025,Bengaluru,Apartment,7,135.81,950.67
19-09-2025,Mumbai,Apartment,8,171.31,1370.48
31-12-2025,Bengaluru,Commercial,2,44.27,88.54
16-12-2025,Bengaluru,Apartment,5,157.6,788
16-02-2025,Hyderabad,Villa,1,153.53,153.53
21-12-2025,Chennai,Villa,7,153.35,1073.45
07-11-2025,Delhi,Apartment,8,162.77,1302.16
04-11-2025,Chennai,Villa,6,178.82,1072.92
24-05-2025,Chennai,Apartment,5,207.1,1035.5
26-09-2025,Bengaluru,Commercial,6,89.36,536.16
04-05-2025,Chennai,Commercial,2,211.51,423.02
16-04-2025,Mumbai,Villa,1,139.62,139.62
07-06-2025,Bengaluru,Apartment,7,46.95,328.65
27-05-2025,Mumbai,Apartment,7,42.88,300.16
25-05-2025,Delhi,Villa,2,103.53,207.06
30-04-2025,Bengaluru,Commercial,2,202.68,405.36
15-11-2025,Delhi,Villa,1,185.69,185.69
02-10-2025,Bengaluru,Commercial,8,203.5,1628
02-04-2025,Hyderabad,Apartment,8,143.8,1150.4
27-02-2025,Chennai,Commercial,1,126.84,126.84
12-12-2025,Hyderabad,Villa,8,62.44,499.52
17-08-2025,Delhi,Apartment,9,102.2,919.8
27-04-2025,Chennai,Villa,4,125.48,501.92
14-11-2025,Bengaluru,Villa,1,49.49,49.49
06-10-2025,Chennai,Commercial,1,78.53,78.53
07-05-2025,Mumbai,Villa,3,161.61,484.83
09-05-2025,Chennai,Commercial,5,191.85,959.25
27-02-2025,Mumbai,Apartment,5,249.64,1248.2
02-05-2025,Chennai,Commercial,9,235.28,2117.52
01-01-2025,Mumbai,Apartment,2,171.36,342.72
27-08-2025,Delhi,Commercial,2,122.67,245.34
17-10-2025,Hyderabad,Villa,6,169.96,1019.76
06-04-2025,Bengaluru,Commercial,9,202.84,1825.56
06-05-2025,Chennai,Commercial,1,56.03,56.03
28-04-2025,Hyderabad,Apartment,9,120.18,1081.62
17-02-2025,Bengaluru,Villa,9,214.76,1932.84
30-03-2025,Bengaluru,Commercial,9,114.44,1029.96
25-08-2025,Mumbai,Villa,5,155.81,779.05
29-09-2025,Delhi,Commercial,9,159.31,1433.79
08-07-2025,Delhi,Commercial,4,70.58,282.32
11-07-2025,Hyderabad,Villa,2,109.69,219.38
10-03-2025,Delhi,Commercial,6,103.59,621.54
05-10-2025,Chennai,Villa,4,35.76,143.04
15-12-2025,Delhi,Commercial,6,35.32,211.92
04-09-2025,Hyderabad,Apartment,3,212.97,638.91
17-03-2025,Delhi,Villa,6,90.08,540.48
03-06-2025,Chennai,Commercial,2,143.98,287.96
24-05-2025,Mumbai,Commercial,2,95.72,191.44
27-03-2025,Hyderabad,Apartment,9,236.95,2132.55
04-07-2025,Mumbai,Villa,7,87.05,609.35
12-10-2025,Mumbai,Commercial,3,124.52,373.56
08-08-2025,Mumbai,Apartment,1,222,222
10-03-2025,Bengaluru,Commercial,8,215.23,1721.84
16-02-2025,Bengaluru,Villa,6,70.94,425.64
04-04-2025,Mumbai,Commercial,7,206.58,1446.06
26-08-2025,Hyderabad,Commercial,9,130.8,1177.2
23-07-2025,Chennai,Commercial,5,136.25,681.25
06-08-2025,Chennai,Commercial,1,59.37,59.37
07-12-2025,Delhi,Apartment,7,47.73,334.11
08-02-2025,Hyderabad,Apartment,5,190.15,950.75
10-04-2025,Bengaluru,Villa,3,139.22,417.66
16-10-2025,Mumbai,Apartment,9,126.11,1134.99
11-09-2025,Delhi,Apartment,1,190.49,190.49
10-08-2025,Chennai,Villa,1,198.41,198.41
23-12-2025,Bengaluru,Apartment,1,64.96,64.96
23-01-2025,Bengaluru,Apartment,3,164.25,492.75
07-09-2025,Mumbai,Villa,6,59.78,358.68
10-01-2025,Chennai,Villa,3,195.3,585.9
03-09-2025,Hyderabad,Villa,8,174.53,1396.24
21-11-2025,Bengaluru,Commercial,2,240.46,480.92
10-04-2025,Mumbai,Commercial,9,45.17,406.53
17-10-2025,Hyderabad,Villa,3,42.55,127.65
29-06-2025,Chennai,Villa,5,92.08,460.4
11-08-2025,Bengaluru,Villa,8,87.58,700.64
07-09-2025,Hyderabad,Commercial,2,84.34,168.68
27-05-2025,Hyderabad,Commercial,6,229.38,1376.28
06-04-2025,Hyderabad,Apartment,5,84.9,424.5
14-09-2025,Bengaluru,Apartment,9,89.83,808.47
21-11-2025,Bengaluru,Villa,5,197.07,985.35
04-01-2025,Delhi,Commercial,2,128.94,257.88
16-01-2025,Chennai,Commercial,5,200.88,1004.4
07-10-2025,Mumbai,Commercial,4,44.38,177.52
